Epoch,Motif,Distance
1,2,inf
1,2,inf
1,2,2237.002178158678
1,2,inf
1,2,3244.7797351159206
1,2,2372.488018157577
1,2,inf
1,2,3941.915395292316
1,2,2007.6380517752784
1,2,1887.493943403013
1,2,inf
1,2,2024.0882582023933
1,2,2142.2448078101056
1,2,1997.359808784965
1,2,2649.1106449347194
1,2,1940.2252542033204
1,2,1800.1828789696883
1,2,1540.2519847929527
1,2,2591.63988434555
1,2,2281.8491028920253
1,2,3168.324125913525
1,2,inf
1,2,1717.434305752035
1,2,2423.459888312829
1,2,inf
1,2,938.0942300669284
1,2,inf
1,2,1960.926379170408
1,2,907.727262362938
1,2,inf
1,2,2838.106896568143
1,2,945.1216827120444
1,2,1392.0934026831042
1,2,inf
1,2,1104.2747199426835
1,2,1913.788547168021
1,2,1974.675840150868
1,2,1630.033693421723
1,2,1346.232778653335
1,2,1042.0248289243634
1,2,931.9684796549252
1,2,1232.5147551359405
1,2,1596.2496902310183
1,2,1714.908434580506
1,2,inf
1,2,1222.995690806822
1,2,1356.8569554363014
1,2,1676.458585305533
1,2,inf
1,2,2658.7784337254498
1,2,1803.4243158419404
1,2,inf
1,2,3099.486325849956
1,2,1672.5251198061112
1,2,2142.0168815752527
1,2,inf
1,2,1814.334703044852
1,2,2254.805512831606
1,2,2124.594016997258
1,2,2374.530786201847
1,2,2008.0919803282768
1,2,1689.5840566180932
1,2,1756.0121321204751
1,2,2119.083195189553
1,2,2272.7038141185453
1,2,2987.88577039905
1,2,inf
1,2,1951.9606131504104
1,2,2004.5975609757004
1,2,inf
1,2,2063.149746968932
1,2,1320.237332070008
1,2,inf
1,2,2692.697421147699
1,2,1317.2520178306822
1,2,1589.102134451868
1,2,inf
1,2,1410.5884102338064
1,2,1911.2737504080949
1,2,1866.8631999155955
1,2,1879.324889367169
1,2,1403.7305253237994
1,2,1290.615025510507
1,2,1278.9024257051385
1,2,1328.671406511758
1,2,1698.330288363127
1,2,2557.1028997657163
1,2,inf
1,2,1660.3537734792214
1,2,1479.1031946647702
1,2,3818.184653387429
1,2,3334.3144155302075
1,2,inf
1,2,6634.070600905071
1,2,2670.812219575057
1,2,3089.724922893883
1,2,inf
1,2,2748.3039146235283
1,2,5022.30940245708
1,2,4315.924365486619
1,2,3091.556796210339
1,2,2729.817293915547
1,2,3095.765393404706
1,2,3212.7512885392325
1,2,2722.4455941472997
1,2,3220.995138274216
1,2,3101.794436453387
1,2,inf
1,2,3118.703467398899
1,2,2514.662618394481
1,2,1343.514267539392
1,2,inf
1,2,2394.006759901709
1,2,1231.2295277956773
1,2,1580.7785879696592
1,2,inf
1,2,1321.3372420770577
1,2,1656.4416920319177
1,2,1811.209262387144
1,2,1793.994527283213
1,2,1514.7844646617198
1,2,1191.7826036491122
1,2,1040.7550965843425
1,2,1462.0698991704962
1,2,1707.190582135187
1,2,2206.169938224543
1,2,inf
1,2,1443.8079485789517
1,2,1310.771602594476
1,2,inf
1,2,2801.9273658721145
1,2,930.7833696623944
1,2,1512.5312841537602
1,2,inf
1,2,1185.6775905851969
1,2,1740.02221060422
1,2,1794.5863470060033
1,2,1643.2880535910906
1,2,1428.4423706479051
1,2,1060.596844371264
1,2,998.8866310211037
1,2,1052.9658142365913
